Dataset,K,L,Memory (GB),test
2,4,200,0.019,0
2,8,200,0.025,0
2,12,200,0.046,0
2,16,200,0.049,0
3,4,200,0.017,0
3,8,200,0.027,0
3,12,200,0.032,0
3,16,200,0.042,0
4,4,200,0.14,0
4,8,200,0.24,0
4,12,200,0.28,0
4,16,200,0.37,0
5,4,200,1.4,0
5,8,200,1.5,0
5,12,200,1.6,0
5,16,200,1.7,0
6,4,200,2.7,0
6,8,200,3.0,0
6,12,200,3.7,0
6,16,200,4.9,0
2,8,10,0.006,1
2,8,50,0.009,1
2,8,100,0.017,1
2,8,150,0.023,1
2,8,200,0.025,1
2,8,400,0.06,1
3,8,10,0.009,1
3,8,50,0.012,1
3,8,100,0.020,1
3,8,150,0.023,1
3,8,200,0.027,1
3,8,400,0.053,1
4,8,10,0.04,1
4,8,50,0.05,1
4,8,100,0.1,1
4,8,150,0.13,1
4,8,200,0.24,1
4,8,400,0.32,1
5,8,10,0.7,1
5,8,50,0.97,1
5,8,100,1.26,1
5,8,150,1.3,1
5,8,200,1.5,1
5,8,400,1.9,1
6,8,10,1.2,1
6,8,50,1.4,1
6,8,100,1.7,1
6,8,150,1.9,1
6,8,200,3.0,1
6,8,400,3.5,1